Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F2,1100,455.267,724.707,243,0.247,21.85,20.78,20.04,82.22,0.21690000000000031,1.65,1.9100000000000037,9.291003499999999,1954355206.0,1922551,1.9100000000000037,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F2,754,815.2,569.692,457,0.431,21.15,20.37,20.03,113.86,0.21899999999999986,1.66,1.2199999999999989,9.285785,1931012122.0,1944293,1.2199999999999989,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,1037,741.93,653.414,313,0.267,21.19,20.33,20.03,97.28,0.21899999999999986,1.66,1.2600000000000016,9.285785,1931012122.0,1944293,1.2600000000000016,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,917,761.6,134.913,458,0.108,21.38,20.47,20.03,50.81,0.21899999999999986,1.66,1.4499999999999993,9.285785,1931012122.0,1944293,1.4499999999999993,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,768,86.564,427.453,471,0.518,21.23,20.23,20.03,113.0,0.21899999999999986,1.66,1.3000000000000007,9.285785,1931012122.0,1944293,1.3000000000000007,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,858,889.946,524.23,489,0.49,21.82,21.24,20.03,105.68,0.21899999999999986,1.66,1.8900000000000006,9.285785,1931012122.0,1944293,1.8900000000000006,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,767,565.067,437.93,722,0.483,21.49,20.36,20.03,24.93,0.21899999999999986,1.66,1.5599999999999987,9.285785,1931012122.0,1944293,1.5599999999999987,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,771,21.368,211.332,452,0.344,21.78,20.85,20.03,109.72,0.21899999999999986,1.66,1.8500000000000014,9.285785,1931012122.0,1944293,1.8500000000000014,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,895,343.661,20.594,288,0.258,21.3,20.24,20.03,91.0,0.21899999999999986,1.66,1.370000000000001,9.285785,1931012122.0,1944293,1.370000000000001,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,1294,171.705,600.459,323,0.335,21.33,20.68,20.03,106.55,0.21899999999999986,1.66,1.3999999999999986,9.285785,1931012122.0,1944293,1.3999999999999986,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,876,599.405,44.98,373,0.434,21.15,20.09,20.03,120.93,0.21899999999999986,1.66,1.2199999999999989,9.285785,1931012122.0,1944293,1.2199999999999989,1.6557699634695275,19.87,1931012121.6104107,1944292.8863640288
F2,786,25.18,214.175,428,0.495,21.18,20.15,20.02,122.41,0.2211000000000003,1.66,1.2600000000000016,9.280566499999999,1907947850.0,1965734,1.2600000000000016,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F2,735,763.26,172.846,456,0.493,21.06,20.24,20.02,116.64,0.2211000000000003,1.66,1.1400000000000006,9.280566499999999,1907947850.0,1965734,1.1400000000000006,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F2,1376,294.451,571.822,380,0.423,21.53,20.76,20.02,120.92,0.2211000000000003,1.66,1.610000000000003,9.280566499999999,1907947850.0,1965734,1.610000000000003,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
