,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
105,579.644,774.993,21.71,20.44,1.2699999999999996,276,0.187,91.42,0.1092499999999999,1.2860267434121764,9.474369999999999,2981055077.0702553,5.802736369463462,634945.3828405716,0.008,2.3
106,246.087,213.945,21.3,20.44,0.8599999999999994,303,0.383,111.67,0.1092499999999999,1.2860267434121764,9.474369999999999,2981055077.0702553,5.802736369463462,634945.3828405716,0.008,2.3
107,484.146,292.289,21.82,20.43,1.3900000000000006,286,0.272,101.11,0.11000000000000004,1.288249551693134,9.470959999999998,2957740036.0811973,5.8048413054642936,638030.3024219366,0.008,2.3
108,409.233,469.687,21.92,20.43,1.490000000000002,176,0.221,89.86,0.11000000000000004,1.288249551693134,9.470959999999998,2957740036.0811973,5.8048413054642936,638030.3024219366,0.008,2.3
109,331.354,394.755,21.6,20.43,1.1700000000000017,277,0.299,102.15,0.11000000000000004,1.288249551693134,9.470959999999998,2957740036.0811973,5.8048413054642936,638030.3024219366,0.008,2.3
110,323.129,308.024,21.880000000000003,20.43,1.4500000000000028,321,0.381,113.89,0.11000000000000004,1.288249551693134,9.470959999999998,2957740036.0811973,5.8048413054642936,638030.3024219366,0.008,2.3
111,337.809,155.365,21.950000000000003,20.419999999999998,1.5300000000000047,449,0.34,101.17,0.11075000000000018,1.2904762019444702,9.467549999999997,2934607343.664127,5.806935441471587,641114.266900625,0.008,2.3
112,501.442,359.19,21.450000000000003,20.419999999999998,1.0300000000000047,297,0.205,96.02,0.11075000000000018,1.2904762019444702,9.467549999999997,2934607343.664127,5.806935441471587,641114.266900625,0.008,2.3
113,864.494,341.648,21.860000000000003,20.419999999999998,1.4400000000000048,274,0.335,104.45,0.11075000000000018,1.2904762019444702,9.467549999999997,2934607343.664127,5.806935441471587,641114.266900625,0.008,2.3
114,882.341,628.039,21.990000000000002,20.41,1.5800000000000018,241,0.346,101.13,0.11149999999999999,1.2927067008067636,9.464139999999999,2911655573.6580772,5.809018740998808,644197.0637866777,0.008,2.3
115,308.596,749.128,22.02,20.41,1.6099999999999994,283,0.337,105.87,0.11149999999999999,1.2927067008067636,9.464139999999999,2911655573.6580772,5.809018740998808,644197.0637866777,0.008,2.3
116,266.563,225.02,21.310000000000002,20.41,0.9000000000000021,290,0.409,111.17,0.11149999999999999,1.2927067008067636,9.464139999999999,2911655573.6580772,5.809018740998808,644197.0637866777,0.008,2.3
117,157.953,314.607,21.59,20.4,1.1900000000000013,261,0.25,95.82,0.11225000000000013,1.2949410549320743,9.460729999999998,2888883311.056148,5.811091167608056,647278.4789468325,0.008,2.3
118,347.323,344.22,22.01,20.4,1.610000000000003,182,0.201,87.55,0.11225000000000013,1.2949410549320743,9.460729999999998,2888883311.056148,5.811091167608056,647278.4789468325,0.008,2.3
119,451.718,376.012,21.720000000000002,20.39,1.3300000000000018,307,0.282,104.83,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
120,628.524,761.19,21.39,20.39,1.0,304,0.298,105.81,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
121,563.239,20.287,21.400000000000002,20.39,1.0100000000000016,311,0.375,112.29,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
