Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F1,238,16.67,152.924,427,0.456,20.88,20.04,19.95,113.06,0.23580000000000023,1.72,1.0300000000000011,9.244036999999999,1754029931.0,2105916,1.0300000000000011,1.7210758077588468,19.79,1754029931.193673,2105916.00479326
F1,260,550.035,697.299,476,0.484,21.91,21.06,19.98,97.05,0.2366313636363646,1.72,1.7,9.241971061363634,1745705826.0,2113254,2.030000000000001,1.7243735936943587,19.78604112554112,1745705826.2542381,2113254.128298916
F1,373,857.805,68.719,463,0.382,21.88,20.94,19.97,98.75,0.23666500000000057,1.72,1.7,9.241887474999999,1745369872.0,2113550,2.0100000000000016,1.7245071526177345,19.78588095238095,1745369871.8108425,2113549.5530257165
F1,440,388.923,388.467,408,0.355,21.34,20.72,19.94,111.89,0.23789999999999978,1.73,1.5,9.2388185,1733079559.0,2124316,1.5,1.7294181001318971,19.78,1733079559.1731274,2124316.2480128924
F1,315,483.406,293.818,466,0.331,21.63,20.47,19.93,94.74,0.2400000000000002,1.74,1.8000000000000007,9.2336,1712379421.0,2142258,1.8000000000000007,1.7378008287493762,19.77,1712379421.2449248,2142258.408681726
F1,429,624.594,728.73,442,0.479,22.43,21.46,20.13,109.58,0.2433590909090928,1.75,1.7,9.225252659090904,1679780979.0,2169964,2.400000000000002,1.7512941255811423,19.75400432900432,1679780978.5070431,2169964.058190376
F1,459,233.563,541.986,390,0.17,21.5,20.76,19.91,96.52,0.24419999999999997,1.75,1.6900000000000013,9.223163,1671717928.0,2176702,1.6900000000000013,1.7546883796679142,19.75,1671717928.0444882,2176701.8076672335
F1,327,853.249,736.471,449,0.406,21.5,20.72,19.91,104.81,0.24419999999999997,1.75,1.6900000000000013,9.223163,1671717928.0,2176702,1.6900000000000013,1.7546883796679142,19.75,1671717928.0444882,2176701.8076672335
F1,219,178.324,64.073,423,0.493,20.75,20.08,19.91,115.01,0.24419999999999997,1.75,0.9400000000000013,9.223163,1671717928.0,2176702,0.9400000000000013,1.7546883796679142,19.75,1671717928.0444882,2176701.8076672335
F1,1207,252.832,598.495,495,0.578,24.73,22.32,20.87,51.12,0.24913545454545938,1.77,1.7,9.210898395454533,1625168498.0,2214573,3.960000000000001,1.774742929117806,19.726497835497813,1625168498.0437105,2214573.1179253138
F1,237,57.42,528.362,444,0.295,21.17,20.0,19.88,99.45,0.2505000000000004,1.78,1.3900000000000041,9.207507499999998,1612528874.0,2224522,1.3900000000000041,1.7803279088537305,19.72,1612528874.4843965,2224521.6814558455
F1,275,97.28,801.841,475,0.355,21.12,19.8,19.88,92.64,0.2505000000000004,1.78,1.3400000000000034,9.207507499999998,1612528874.0,2224522,1.3400000000000034,1.7803279088537305,19.72,1612528874.4843965,2224521.6814558455
F1,272,449.464,717.144,455,0.489,21.38,20.74,19.87,105.48,0.25259999999999994,1.79,1.6099999999999994,9.202289,1593268610.0,2239374,1.6099999999999994,1.7889574043521879,19.71,1593268610.3272567,2239373.653390098
F1,205,740.307,514.147,440,0.416,21.18,20.06,19.87,108.04,0.25259999999999994,1.79,1.4100000000000001,9.202289,1593268610.0,2239374,1.4100000000000001,1.7889574043521879,19.71,1593268610.3272567,2239373.653390098
F1,259,564.125,580.467,473,0.1,21.03,20.37,19.87,72.04,0.25259999999999994,1.79,1.2600000000000016,9.202289,1593268610.0,2239374,1.2600000000000016,1.7889574043521879,19.71,1593268610.3272567,2239373.653390098
F1,286,279.23,67.26,197,0.247,21.07,20.13,19.87,91.49,0.25259999999999994,1.79,1.3000000000000007,9.202289,1593268610.0,2239374,1.3000000000000007,1.7889574043521879,19.71,1593268610.3272567,2239373.653390098
